Here is a capture of the AUXCH data during the link standup.

This was made by bringing the AUXCH_IN signal to an I/O pin
and then capturing the stream with a Seleae Logic analyser.

It can be decoded with the Manchester protocol decoder, with
0.041528250000000,0x00
0.041536250000000,0x50
0.041544250000000,0x0F
	0.041688125000000,0x00
	0.041695750000000,0xD1
	0.041703500000000,0xC0
	0.041711250000000,0xD1
	0.041718875000000,0x00
	0.041726625000000,0x01
	0.041734375000000,0x01
	0.041742000000000,0xA3
	0.041749750000000,0x66
	0.041757500000000,0x00
	0.041765125000000,0xA0
	0.041772875000000,0xF0
	0.041780500000000,0x70
	0.041788250000000,0x1F
	0.041796000000000,0x80
	0.041803625000000,0x30
	0.041811375000000,0x20
// Read block of EDID
0.041847750000000,0x50
0.041855750000000,0x00
0.041863750000000,0x50
0.041871875000000,0x0F
	0.042015500000000,0x00
	0.042023250000000,0x35
	0.042031000000000,0x00
	0.042038625000000,0x6D
	0.042046375000000,0x55
	0.042054125000000,0x21
	0.042061750000000,0x00
	0.042069500000000,0x00
	0.042077125000000,0x1A
	0.042084875000000,0x00
	0.042092625000000,0x00
	0.042100250000000,0x00
	0.042108000000000,0xFF
	0.042115750000000,0x00
	0.042123375000000,0x55
	0.042131125000000,0x32
	0.042138875000000,0x4E
// Read block of EDID
0.042175375000000,0x50
0.042183375000000,0x00
0.042191375000000,0x50
0.042199375000000,0x0F
	0.042342000000000,0x00
	0.042349750000000,0x31
	0.042357375000000,0x34
	0.042365125000000,0x34
	0.042372875000000,0x31
	0.042380500000000,0x30
	0.042388250000000,0x30
	0.042396000000000,0x30
	0.042403625000000,0x38
	0.042411375000000,0x38
	0.042419125000000,0x0A
	0.042426750000000,0x00
	0.042434500000000,0x00
	0.042442125000000,0x00
	0.042449875000000,0xFC
	0.042457625000000,0x00
	0.042465250000000,0x56
// Read block of EDID
0.042501875000000,0x50
0.042509875000000,0x00
0.042517875000000,0x50
0.042525875000000,0x0F
	0.042669500000000,0x00
	0.042677125000000,0x58
	0.042684875000000,0x32
	0.042692625000000,0x38
	0.042700250000000,0x38
	0.042708000000000,0x30
	0.042715750000000,0x4D
	0.042723375000000,0x4C
	0.042731125000000,0x0A
	0.042738750000000,0x20
	0.042746500000000,0x20
	0.042754250000000,0x20
	0.042761875000000,0x20
	0.042769625000000,0x00
	0.042777375000000,0x00
	0.042785000000000,0x00
	0.042792750000000,0xFD
// Read block of EDID
0.042828875000000,0x50
0.042836875000000,0x00
0.042844875000000,0x50
0.042852875000000,0x0F
	0.042996000000000,0x00
	0.043003625000000,0x00
	0.043011375000000,0x18
	0.043019000000000,0x55
	0.043026750000000,0x1F
	0.043034500000000,0x72
	0.043042125000000,0x1E
	0.043049875000000,0x00
	0.043057625000000,0x0A
	0.043065250000000,0x20
	0.043073000000000,0x20
	0.043080750000000,0x20
	0.043088375000000,0x20
	0.043096125000000,0x20
	0.043103750000000,0x20
	0.043111500000000,0x01
	0.043119250000000,0x42
0.043155500000000,0x90
0.043163500000000,0x02
0.043171500000000,0x00
0.043179500000000,0x00
	0x00

Read DP Config registers
0.043276000000000,0x90
0.043284000000000,0x00
0.043292000000000,0x00
0.043300000000001,0x0B

	0.043352250000000,0x00
	0.043360000000000,0x11
	0.043367750000000,0x0A
	0.043375375000000,0xA4
	0.043383125000000,0x01
	0.043390750000000,0x01
	0.043398500000000,0x00
	0.043406250000000,0x01
	0.043413875000000,0x81
	0.043421625000000,0x00
	0.043429375000000,0x00
	0.043437000000000,0x00
	0.043444750000000,0x00

// Set something
0.043481000000000,0x80
0.043489000000000,0x01
0.043497000000000,0x08
0.043505000000000,0x00
0.043513000000000,0x01
	0x00
// Set something
0.043601500000000,0x80
0.043609500000000,0x01
0.043617500000000,0x00
0.043625500000000,0x00
0.043633500000000,0x0A
	0x00
// Set something
0.043721500000000,0x80
0.043729500000000,0x01
0.043737500000000,0x07
0.043745500000000,0x00
0.043753500000000,0x10
	0x00
// Set something
0.043842000000000,0x80
0.043850000000000,0x01
0.043858000000000,0x01
0.043866000000000,0x00
0.043874000000000,0x01
	0x00

// Change to training pattern 1 (clock training)
0.043962625000000,0x80
0.043970625000000,0x01
0.043978625000000,0x02
0.043986625000000,0x00
0.043994625000000,0x21
	0x00

// Write swing and preemph
0.044083125000000,0x80
0.044091125000000,0x01
0.044099125000000,0x03
0.044107125000000,0x03
0.044115125000000,0x00
0.044123125000000,0x00
0.044131125000000,0x00
0.044139125000000,0x00
	// retry
	0.044480000000000,0x20

// Write swing and preemph
0.044516125000000,0x80
0.044524125000000,0x01
0.044532125000000,0x03
0.044540125000000,0x03
0.044548125000000,0x00
0.044556125000000,0x00
0.044564125000000,0x00
0.044572125000000,0x00
	0x00

// READ STATUS
0.044760625000000,0x90
0.044768625000000,0x02
0.044776625000000,0x00
0.044784625000000,0x07
	0.044836375000000,0x00
	0.044844125000000,0x00
	0.044851750000000,0x00
	0.044859500000000,0x01
	0.044867250000000,0x00
	0.044874875000000,0x80
	0.044882625000000,0x00
	0.044890375000000,0x00
	0.044898000000000,0x00

// Read adjust request reg
0.044934125000000,0x90
0.044942125000000,0x02
0.044950125000000,0x06
0.044958125000000,0x01
	0x00
	0x00
	0x00

// Change to training pattern 2 (Preemph training)
0.045162250000000,0x80
0.045170250000000,0x01
0.045178250000000,0x02
0.045186250000000,0x00
0.045194250000000,0x22
	0x00

// Write swing and preemph
0.045282750000000,0x80
0.045290750000000,0x01
0.045298750000000,0x03
0.045306750000000,0x03
0.045314750000000,0x00
0.045322750000000,0x00
0.045330750000000,0x00
0.045338750000000,0x00
	0.045680000000000,0x20   // RETRY

// Write swing and preemph
0.045716250000000,0x80
0.045724250000000,0x01
0.045732250000000,0x03
0.045740250000000,0x03
0.045748250000000,0x00
0.045756250000000,0x00
0.045764250000000,0x00
0.045772250000000,0x00
	0x00

// Read link status registers
0.046260875000000,0x90
0.046268875000000,0x02
0.046276875000000,0x00
0.046284875000000,0x07

	0.046336875000000,0x00
	0.046344500000000,0x00
	0.046352250000000,0x00
	0.046360000000000,0x07
	0.046367625000000,0x00
	0.046375375000000,0x81
	0.046383125000000,0x00
	0.046390750000000,0x00
	0.046398500000000,0x00

// Read adjust request reg
0.046434875000000,0x90
0.046442875000000,0x02
0.046450875000000,0x06
0.046458875000000,0x01
	0x00
	0x00
	0x00

// SET NO TRAINING PATTERN
0.046662875000000,0x80
0.046670875000000,0x01
0.046678875000000,0x02
0.046686875000000,0x00
0.046694875000000,0x00
	0x00

/////////////////////////////////////
// At this point the link is stood up
/////////////////////////////////////

// Read link status registers (to check that the link is still up)
0.914215000000000,0x90
0.914223000000000,0x02
0.914231000000000,0x00
0.914239000000000,0x07
	0.914291375000000,0x00
	0.914299000000000,0x00
	0.914306750000000,0x00
	0.914314375000000,0x07
	0.914322125000000,0x00
	0.914329875000000,0x81
	0.914337500000000,0x00
	0.914345250000000,0x00
	0.914353000000000,0x00
